,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,lat,long,Frontage,Land Depth,no amenity,gym,pool,party room,security,parking,balcony,indoor pool,recreation,sauna,storage - locker,guest suites,outdoor pool,bbqs allowed,bike storage,carpet free,in suite laundry,media room,tennis court,car wash,squash/racquet court
3760,3450000.0,"25 Finchley Rd , Etobicoke - Edenbridge-Humber Valley",W10408437,3250.0,Edenbridge-Humber Valley,4,4,Detached,Central Air,Forced Air,43.6576892,-79.5263356,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3761,549900.0,"1003 - 1121 Bay St , Toronto - Bay Street Corridor",C9418855,549.5,Bay Street Corridor,1,1,Condo Apt,Central Air,Forced Air,43.6679864,-79.3885486,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3762,996000.0,"75 Winston Park Blvd , North York - Downsview-Roding-CFB",W9392448,900.0,Downsview-Roding-CFB,3,2,Detached,Central Air,Forced Air,43.7296406,-79.4664791,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3763,3688000.0,"274 Dunview Ave , North York - Willowdale East",C10416065,4250.0,Willowdale East,5,7,Detached,Central Air,Forced Air,43.7787943,-79.3968617,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3764,1649900.0,"741 - 21 Dale Ave , Toronto - Rosedale-Moore Park",C9509908,1899.5,Rosedale-Moore Park,3,2,Co-Op Apt,Central Air,Radiant,43.6737772,-79.3711653,,,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3765,850000.0,"564 Pharmacy Ave , Scarborough - Clairlea-Birchmount",E9507990,900.0,Clairlea-Birchmount,2,2,Detached,Central Air,Forced Air,43.7070898,-79.28999,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3766,480000.0,"524 - 111 Bathurst St , Toronto - Waterfront Communities C1",C10405473,249.5,Waterfront Communities C1,1,1,Condo Apt,Central Air,Heat Pump,43.6448228,-79.40280369999999,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
3767,1099800.0,"65 Fort Dearborn Dr , Scarborough - L'Amoreaux",E9416671,1629495.0121965199,L'Amoreaux,4,5,Detached,Central Air,Forced Air,43.80670509999999,-79.30144630000001,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3769,1195000.0,"PH15 - 50 Dunfield Ave , Toronto - Mount Pleasant West",C9346764,1099.5,Mount Pleasant West,2,3,Condo Apt,Central Air,Forced Air,43.7058337,-79.3952232,,,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3770,588000.0,"19 - 38 Gibson Ave , Toronto - Weston",W9374731,849.5,Weston,2,1,Condo Townhouse,Central Air,Forced Air,43.701662,-79.5072524,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
