,price,address,mls,sqft,Community,beds,baths,Air Conditioning,Heating,Party/Meeting Room,Visitor Parking,Gym,Concierge,Balcony,Indoor Pool,Rooftop Deck/Garden,Party Room,Exercise Room,Storage - Locker,Exercise Centre,Security/Concierge,Visitor Parking,Guest Suites,Sauna,Outdoor Pool,Bbqs Allowed,Concierge,Carpet Free,In suite Laundry
84,519000.0,"208 - 710 HUMBERWOOD BOULEVARDToronto (West Humber-Clairville), Ontario M9W6S4",W10441523,649.5,West Humber-Clairville,2.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,600000.0,"524 - 5233 DUNDAS STREET WToronto (Islington-City Centre West), Ontario M9B6M1",W10441477,849.5,Islington-City Centre West,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1499000.0,"26 SAYBROOK AvenueEtobicoke, Ontario M8Z2V4",40679679,2520.0,,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1500000.0,"213 HEWARD AVENUEToronto (South Riverdale), Ontario M4M2T6",E10441514,2250.0,South Riverdale,3.0,3.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,409000.0,"1105 - 260 SACKVILLE STREETToronto (Regent Park), Ontario M5A0B3",C10441565,549.5,Regent Park,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,715000.0,"307 - 125 REDPATH AVENUEToronto (Mount Pleasant West), Ontario M4S0B5",C10441556,649.5,Mount Pleasant West,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,,"18 YONGE STREETToronto (Waterfront Communities), Ontario M5E1Z8",C10446900,649.5,Waterfront Communities C1,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,,"2401 - 1285 DUPONT STREETToronto (Dovercourt-Wallace Emerson-Junction), Ontario M6H0E3",W10442862,849.5,Dovercourt-Wallace Emerson-Junction,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,,"2010 - 7 MABELLE AVENUEToronto (Islington-City Centre West), Ontario M9A0C9",W10442832,649.5,Islington-City Centre West,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,,"610 S - 127 BROADWAY AVENUE NToronto (Mount Pleasant West), Ontario M4P1V4",C10442871,549.5,Mount Pleasant West,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,,"808 - 127 BROADWAY AVENUEToronto (Mount Pleasant West), Ontario M4P1V3",C10442868,549.5,Mount Pleasant West,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,,"#2507 - 50 WELLESLEY STREET EToronto (Church-Yonge Corridor), Ontario M4Y1G2",C10442833,549.5,Church-Yonge Corridor,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,,"1010 - 455 WELLINGTON STREET WToronto (Waterfront Communities), Ontario M5V0V3",C10442843,2124.5,Waterfront Communities C1,3.0,3.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,,"53 ALCORN AVENUEToronto (Yonge-St. Clair), Ontario M4V1E5",C10442846,1750.0,Yonge-St. Clair,3.0,2.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,,"1019 - 30 TRETTI WAYToronto (Clanton Park), Ontario M3H0E3",C10442825,549.5,Clanton Park,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,,"1105 - 88 PALACE PIER COURTToronto (Mimico), Ontario M8V4C2",W10442796,849.5,Mimico,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,599000.0,"1010 - 20 EDGECLIFFE GOLFWAYToronto (Flemingdon Park), Ontario M3C3A4",C10441357,1099.5,Flemingdon Park,3.0,2.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,948000.0,"312 - 70 QUEENS WHARF ROADToronto (Waterfront Communities), Ontario M5V0J2",C10441080,1099.5,Waterfront Communities C1,3.0,2.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,549900.0,"1808 - 5 SOUDAN AVENUEToronto (Mount Pleasant West), Ontario M4S0B1",C10441089,549.5,Mount Pleasant West,2.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1198000.0,"60A SENTINEL ROADToronto (York University Heights), Ontario M3J3T6",W10441033,1750.0,York University Heights,5.0,3.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,500000.0,"306 - 1060 SHEPPARD AVENUE WToronto (York University Heights), Ontario M3J0G7",W10441023,549.5,York University Heights,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,399999.0,"713 - 10 MARTHA EATON WAYToronto (Brookhaven-Amesbury), Ontario M6M5B3",W10441020,1099.5,Brookhaven-Amesbury,3.0,2.5,Central air conditioning,,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
