price,address,mls,Calculated_sqft,Square Footage
1949000,99 Yardley Avenue,E10420951,2250.0,
1199000,43 Tamarisk Drive,W10420887,1273.2832588000003,
1375000,148 Caledonia Road,W10420780,1560.41782603,
1249000,1082 Glencairn Avenue,W10420742,1183.8578539900002,
1679000,48B Maybourne Avenue,E10420691,18779.08528762,
7995000,44 Fifeshire Road,C10420665,3300.63368488,
999000,310 Pharmacy Avenue,E10420641,16993.215423309997,
2650000,124 Scarboro Avenue,E10420635,2092.6603893300003,
1899000,393 Ossington Avenue,C10420642,1126.57453097,
5649000,5 Stratheden Road,C10420630,2250.0,
1299000,15 Burlington Street,W10420574,1383.7897617599997,
3988888,179 Burndale Avenue,C10420556,4250.0,
1269000,39 Stanwood Crescent,W10420571,1750.0,
2680000,33 Madison Avenue,C10420484,1276.3832619999998,
6995000,189 Old Yonge Street,C10420446,5000.0,
998000,47 Boyce Avenue,E10420290,1419.98660468,
1099000,5 Ripon Road,E10420174,1750.0,
1199900,120 Ascot Avenue,W10420087,1045.14024552,
3188800,100 Roe Avenue,C10420032,2311.39360123,
6999999,240 Russell Hill Road,C10420031,4250.0,
749900,2 Birch Tree Crescent,W10420008,802.9051343599999,
1399000,244 Strathmore Boulevard,E10419992,1191.91032758,
1599900,100 Runnymede Road,W10419959,1507.19679887,
2588000,388 Broadway Avenue,C10419918,2750.0,
1950000,35 Caswell Drive,C10419855,846.9144158999998,
2188000,27 Bluffwood Drive,C10419780,2750.0,
1790000,17 Wendover Road,W10419286,1300.0,
1129000,85 Fordwich Crescent,W10418830,1424.817443,
2249900,150 St Johns Road,W10418636,1482.41399551,
799000,39 Langfield Crescent,W10418557,1300.0,
2099900,12 Chauncey Avenue,W10418480,1641.3709651499998,
1148000,25 Wigmore Drive,C10418450,1862.3387626900003,
1474900,35 Freemon Redmon Circle,E10418121,2750.0,
4690000,42 High Park Boulevard,W10418073,2298.4048031,
2647900,19 King High Avenue,C10418081,2250.0,
2498000,47 Argonne Crescent,C10417804,4250.0,
1474900,21 Freemon Redmon Circle,E10417704,2750.0,
2788000,11 Abbeywood Trail,C10417686,1935.41272701,
999900,55 Rowatson Road,E10417671,1451.7218110499998,
899900,32 Jeffcoat Drive,W10417532,1552.477297,
3998800,193 Kingsdale Avenue,C10417495,3019.6894365400003,
1398000,57 Marsh Road,E10417472,1524.43195555,
